41,425,489,35,163,291,419,125,124,44,172,300,428,316,432,244,73,75,46,47,363,444,445,446,236,364,248,456,208,256,257
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0c03,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0000,	0004,	0ffe,	0004,	0321,	0320,	09a0,	0000,	0044,	0b73,	01ec
	0fff,	0000,	0fff,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0c00,	0044,	0b73,	01f0
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0ffe,	0004,	0321,	0320,	09a0,	0000,	0044,	0b73,	01f4
	0000,	0000,	0fff,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0ffe,	0004,	0321,	0320,	09a0,	0000,	0044,	0b73,	01f8
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0ffe,	0004,	0321,	0320,	09a0,	0000,	0044,	0b75,	01c0
	0000,	0fff,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0ffe,	0004,	0321,	0320,	09a0,	0000,	0044,	0b75,	01c4
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0044,	0b75,	01c8
	0000,	0000,	0fff,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0044,	0b75,	01cc
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0c03,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0ffe,	0004,	0321,	0320,	09a0,	0000,	0044,	0b75,	01d0
	0fff,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0044,	0b75,	01d4
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0044,	0b75,	01d8
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0044,	0b75,	01dc
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0ffe,	0004,	0321,	0320,	09a0,	0000,	0044,	0b75,	01e0
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0ff8,	0004,	0000,	0004,	0321,	0320,	09a0,	0000,	0044,	0b75,	01e4
	0000,	0000,	0000,	0eae,	0eae,	0eae,	0eae,	0003,	0ffb,	0168,	0168,	0168,	0168,	0000,	0258,	0638,	0984,	0fb8,	0ff0,	09b4,	0000,	0004,	0ffe,	0004,	0321,	0320,	09a0,	0000,	0044,	0b75,	01e8
