俯仰/度,滚转/度,滚转/度.1,航向/度,航向/度.1,航向/度.2,航向/度.3,无线电高度高位/FT,无线电高度低位/FT,计算空速/KT,计算空速/KT.1,计算空速/KT.2,计算空速/KT.3,垂直速度/KT,马赫数,风速/KT,左攻角/DEG,右攻角/DEG,气压高度高位/FT,气压高度低位/FT,时,分,秒,推力扭矩,襟翼手柄位置/度,左襟翼/度,右襟翼/度,目标空速/KT,选择空速/KT,VOR频率/MHZ,燃油量/LBS,排气温度/DEG C
0.0,127.9375,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,56,16,63.875,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,0,4.25
0.0,127.9375,127.9375,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,56,18,63.875,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,56,20,63.875,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,2540,4.25
127.9375,127.9375,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,56,22,63.875,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,0,4.25
0.0,127.9375,127.9375,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,56,24,63.875,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,127.9375,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,56,26,63.875,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,0,4.25
127.9375,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,56,28,0.0,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,4770,4.25
0.0,0.0,127.9375,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,57,0,63.875,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,7680,4.25
0.0,0.0,127.9375,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,57,2,63.875,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,0,4.25
127.9375,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,57,4,63.875,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,127.9375,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,57,6,63.875,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,9120,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,57,8,0.0,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,57,10,63.875,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,57,12,63.875,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,127.9375,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,57,14,63.875,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,9120,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,57,16,63.875,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,0,4.25
127.9375,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,57,18,63.875,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,127.9375,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,57,20,0.0,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,57,22,0.0,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,0,4.25
127.9375,0.0,127.9375,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,57,24,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,7680,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,57,26,63.875,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,127.9375,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,57,28,63.875,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,58,0,63.875,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,0,4.25
0.0,127.9375,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,58,2,63.875,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,58,4,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,127.9375,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,58,6,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,58,8,63.875,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,0,4.25
127.9375,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,58,10,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,58,12,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,58,14,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,58,16,63.875,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,58,18,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,58,20,0.0,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,58,22,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,127.9375,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,58,24,63.875,0.3515625,719.6484375,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,58,26,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,127.9375,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,58,28,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,59,0,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,59,2,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,59,4,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,59,6,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,59,8,0.0,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
127.9375,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,59,10,0.0,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,59,12,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,7680,4.25
0.0,127.9375,127.9375,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,59,14,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,59,16,0.0,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,59,18,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,59,20,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
127.9375,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,59,22,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,127.9375,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,59,24,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,127.9375,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,59,26,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,8590,4.25
0.0,127.9375,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,22,59,28,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,127.9375,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,23,0,0,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,23,0,2,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,23,0,4,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,2630,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,23,0,6,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,7680,4.25
127.9375,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,23,0,8,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,127.9375,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,23,0,10,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
