俯仰/度,滚转/度,滚转/度.1,航向/度,航向/度.1,航向/度.2,航向/度.3,无线电高度高位/FT,无线电高度低位/FT,计算空速/KT,计算空速/KT.1,计算空速/KT.2,计算空速/KT.3,垂直速度/KT,马赫数,风速/KT,左攻角/DEG,右攻角/DEG,气压高度高位/FT,气压高度低位/FT,时,分,秒,推力扭矩,襟翼手柄位置/度,左襟翼/度,右襟翼/度,目标空速/KT,选择空速/KT,VOR频率/MHZ,燃油量/LBS,排气温度/DEG C
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,23,0,12,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,23,0,14,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,23,0,16,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,127.9375,127.9375,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,23,0,18,0.0,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
127.9375,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,23,0,20,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,70,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,23,0,22,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,7680,4.25
0.0,0.0,127.9375,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,23,0,24,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
127.9375,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,23,0,26,0.0,0.0,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,127.9375,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,23,0,28,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,2540,4.25
0.0,0.0,127.9375,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,23,1,0,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,23,1,2,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,23,1,4,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
127.9375,0.0,127.9375,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,23,1,6,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,4770,4.25
0.0,0.0,127.9375,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,23,1,8,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,23,1,10,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
0.0,0.0,0.0,330.1171875,330.1171875,330.1171875,330.1171875,2048,2045,45.0,45.0,45.0,45.0,0,0.15,99.5,107.05078125,176.8359375,130560,621,23,1,12,63.875,0.3515625,0.0,0.703125,100.0,100.0,61.6,0,4.25
